;pseudolatex
660;VF + VF.x + VF.x^{2} + VF.x^{3} + VF.x^{4} + VF.x^{5} + VF.x^{6}
661;VF + VF.x + VF.x^{2} + VF.x^{3} + VF.x^{4}
662;VF + VF.x + VF.x^{2}
663;VF + VF.x + VF.x^{2}
664;VF + VF.x + VF.x^{2} + VF.x^{3} + VF.x^{4} + VF.x^{5} + VF.x^{6} + VF.x^{7} + VF.x^{8}
665;VF + VF.x + VF.x^{2} + VF.x^{3}
666;VF + VF.x + VF.x^{2} + VF.x^{3} + VF.x^{4} + VF.x^{5}
667;VF + VF.x + VF.x^{2} + VF.x^{3} + VF.x^{4} + VF.x^{5}
668;VF + VF.x + VF.x^{2} + VF.x^{3} + VF.x^{4} + VF.x^{5} + VF.x^{6} + VF.x^{7}
669;- VF - VF.x - VF.x^{2} - VF.x^{3} - VF.x^{4} - VF.x^{5} - VF.x^{6} - VF.x^{7} - VF.x^{8} - VF.x^{9} - VF.x^{10}
670;- VF - VF.x - VF.x^{2} - VF.x^{3} - VF.x^{4} - VF.x^{5} - VF.x^{6}
671;- VF - VF.x
672;- VF - VF.x - VF.x^{2} - VF.x^{3} - VF.x^{4}
673;- VF - VF.x - VF.x^{2} - VF.x^{3} - VF.x^{4} - VF.x^{5} - VF.x^{6} - VF.x^{7} - VF.x^{8} - VF.x^{9} - VF.x^{10}
674;- VF - VF.x - VF.x^{2} - VF.x^{3}
675;- VF - VF.x - VF.x^{2} - VF.x^{3} - VF.x^{4}
676;- VF - VF.x - VF.x^{2} - VF.x^{3} - VF.x^{4} - VF.x^{5} - VF.x^{6} - VF.x^{7}
677;- VF - VF.x - VF.x^{2} - VF.x^{3} - VF.x^{4} - VF.x^{5} - VF.x^{6} - VF.x^{7} - VF.x^{8}
678;- VF - VF.x
679;VF - VF.x - VF.x^{2}
680;VF - VF.x - VF.x^{2} - VF.x^{3} + VF.x^{4} - VF.x^{5} + VF.x^{6} - VF.x^{7} + VF.x^{8} - VF.x^{9} + VF.x^{10}
681;- VF + VF.x - VF.x^{2} + VF.x^{3} + VF.x^{4} + VF.x^{5} + VF.x^{6} - VF.x^{7} + VF.x^{8} + VF.x^{9} + VF.x^{10}
682;VF + VF.x - VF.x^{2} - VF.x^{3} + VF.x^{4} + VF.x^{5} - VF.x^{6} - VF.x^{7} + VF.x^{8}
683;- VF + VF.x + VF.x^{2} - VF.x^{3} - VF.x^{4} - VF.x^{5} + VF.x^{6} - VF.x^{7} - VF.x^{8}
684;- VF - VF.x - VF.x^{2} - VF.x^{3} + VF.x^{4} - VF.x^{5}
685;- VF + VF.x + VF.x^{2} - VF.x^{3} + VF.x^{4} + VF.x^{5}
686;VF - VF.x - VF.x^{2} - VF.x^{3} - VF.x^{4} + VF.x^{5}
687;VF - VF.x - VF.x^{2} + VF.x^{3} + VF.x^{4} - VF.x^{5}
688;- VF - VF.x - VF.x^{2} + VF.x^{3} - VF.x^{4} + VF.x^{5} - VF.x^{6} - VF.x^{7} + VF.x^{8} - VF.x^{9}
689;- VF.x^{8} - VF.x^{7} + VF.x^{6} + VF.x^{5} - VF.x^{4} + VF.x^{3} + VF.x^{2} - VF.x - VF
