;pseudolatex
510;VN.x^{5} + VN.x^{7} + VN.x^{3} + VN.x^{4} + VN.x^{2} - VN.x + VN.x^{6} - VN
511;- VN.x^{2} + VN + VN.x + VN.x^{4} + VN.x^{3}
512;VN.x^{2} + VN.x^{3} + VN.x^{4} - VN - VN.x^{8} + VN.x + VN.x^{5} - VN.x^{9} - VN.x^{6} + VN.x^{7}
513;VN.x^{8} - VN.x^{3} - VN.x^{7} - VN - VN.x^{5} - VN.x^{2} - VN.x^{4} - VN.x^{9} + VN.x + VN.x^{6}
514;- VN.x^{3} + VN - VN.x^{4} - VN.x^{2} + VN.x - VN.x^{5}
515;VN.x^{3} - VN.x^{6} - VN + VN.x^{5} - VN.x^{2} - VN.x^{4} + VN.x
516;- VN - VN.x
517;- VN.x - VN - VN.x^{2} + VN.x^{3}
518;- VN.x^{5} - VN.x^{2} - VN.x^{3} + VN + VN.x^{4} - VN.x
519;- VN.x + VN.x^{4} - VN.x^{2} + VN - VN.x^{3}
520;VN.x - VN.x^{3} + VN.x^{5} - VN.x^{4} - VN - VN.x^{7} + VN.x^{6} + VN.x^{2}
521;- VN.x^{4} - VN.x^{3} + VN - VN.x + VN.x^{2} + VN.x^{5}
522;- VN.x + VN.x^{2} + VN.x^{4} + VN - VN.x^{3}
523;- VN.x^{3} - VN - VN.x + VN.x^{2}
524;- VN.x^{6} - VN.x^{4} - VN.x - VN.x^{8} + VN.x^{10} + VN + VN.x^{5} + VN.x^{7} - VN.x^{9} + VN.x^{3} - VN.x^{2}
525;VN.x + VN - VN.x^{5} + VN.x^{4} - VN.x^{3} + VN.x^{2}
526;- VN + VN.x
527;- VN.x^{3} + VN.x + VN.x^{2} + VN.x^{5} + VN.x^{4} - VN
528;- VN.x^{2} - VN.x^{7} - VN.x^{5} - VN.x^{8} + VN - VN.x^{3} - VN.x^{6} - VN.x^{4} + VN.x
529;- VN.x^{2} - VN - VN.x
530;- VN.x^{2} - VN - VN.x - VN.x^{3}
531;- VN - VN.x^{2} - VN.x - VN.x^{3}
532;- VN - VN.x^{2} - VN.x^{3} - VN.x^{4} - VN.x
533;- VN - VN.x - VN.x^{5} - VN.x^{4} - VN.x^{7} - VN.x^{6} - VN.x^{3} - VN.x^{2}
534;- VN.x^{2} - VN.x^{3} - VN.x^{4} - VN.x - VN
535;- VN.x^{7} - VN.x^{9} - VN.x^{6} - VN - VN.x^{8} - VN.x - VN.x^{4} - VN.x^{5} - VN.x^{2} - VN.x^{3} - VN.x^{10}
536;- VN - VN.x - VN.x^{3} - VN.x^{2}
537;- VN.x^{4} - VN.x^{3} - VN.x^{7} - VN.x^{9} - VN.x^{6} - VN.x^{5} - VN.x^{8} - VN - VN.x^{10} - VN.x^{2} - VN.x
538;- VN.x^{7} - VN.x^{2} - VN.x^{6} - VN.x^{3} - VN.x - VN.x^{5} - VN.x^{8} - VN.x^{9} - VN - VN.x^{4}
539;VN.x^{4} + VN.x + VN.x^{6} + VN.x^{2} + VN.x^{8} + VN + VN.x^{3} + VN.x^{5} + VN.x^{9} + VN.x^{10} + VN.x^{7}
