;pseudolatex
120;- VN.x^{4} - VF
121;- VF.x^{12} - VF.x^{11} - VN.x^{10} - VF.x^{8} - VF.x^{7} - VF.x^{6} - VF.x^{5} - VN.x^{4} - VN.x^{3} - VF.x^{2} - VN.x - VN
122;- VF.x^{10}
123;- VF.x^{4} - VF.x - VN
124;- VN.x^{15} - VF.x^{11} - VN.x^{7} - VF.x^{3}
125;- VF.x^{14} - VN.x^{11} - VF.x^{9} - VN.x^{7} - VN.x^{6} - VF.x^{5} - VN.x^{3}
126;- VN.x^{4} - VF.x^{3} - VF.x - VF
127;- VF.x^{13}
128;- VN.x^{5}
129;- VF.x^{11} - VF.x^{8} - VF.x^{7} - VN.x^{6}
130;- VN.x^{6} - VN.x^{5} - VN.x^{4} - VF.x^{3} - VN.x^{2}
131;- VF.x
132;- VF.x^{3} - VF.x^{2}
133;- VN.x^{9} - VN.x^{7} - VN.x^{5}
134;- VN.x^{5} - VF.x^{3} - VN
135;- VF.x^{8} - VN.x^{7} - VN.x^{5} - VF.x^{4} - VN.x^{3} - VN.x^{2} - VN.x - VF
136;- VN.x^{5} - VF.x^{4} - VN.x^{3} - VF.x^{2} - VN.x
137;- VF.x^{12}
138;- VF.x^{5} - VN.x^{4} - VF.x^{3} - VN.x - VN
139;- VN.x^{11} - VN.x^{9} - VN.x^{8} - VN.x^{7}
140;- VD + VD.x^{2} - VD.x^{5} + VD.x + VD.x^{3} + VD.x^{4}
141;VD.x - VD
142;- VD.x^{4} - VD.x + VD.x^{2} - VD - VD.x^{3}
143;VD.x^{3} - VD.x - VD.x^{2} + VD
144;- VD.x^{3} + VD.x^{4} - VD.x^{2} - VD.x - VD + VD.x^{5}
145;VD.x^{6} + VD.x^{2} + VD - VD.x^{3} + VD.x^{7} - VD.x^{9} - VD.x + VD.x^{8} - VD.x^{5} + VD.x^{4}
146;- VD.x + VD.x^{2} + VD.x^{3} + VD
147;- VD.x^{4} - VD + VD.x^{6} + VD.x^{5} - VD.x^{2} - VD.x - VD.x^{7} - VD.x^{3}
148;- VD + VD.x^{3} + VD.x + VD.x^{2}
149;- VD.x^{2} + VD.x^{7} - VD.x^{6} + VD + VD.x^{8} - VD.x^{5} + VD.x^{4} - VD.x^{3} + VD.x
