;pseudolatex
90;VN.x
91;VF.x^{8} + VN.x^{7} + VN.x^{6} + VF.x^{2} + VN
92;VF.x^{4} + VF.x^{3} + VN.x + VN
93;VN.x^{10}
94;VN.x^{8} + VF.x^{4} + VF.x
95;VF.x^{4} + VF.x
96;VN.x^{3} + VF.x
97;VN.x^{3} + VF.x
98;VN.x^{8} + VN.x^{7} + VN.x^{6} + VF.x^{5} + VN.x + VN
99;VF.x^{3} + VN.x + VF
100;VN.x
101;- VN.x^{2}
102;- VN.x^{5}
103;- VF.x^{9} - VF.x^{8} - VN.x
104;- VN.x^{9} + VF.x^{8} - VN
105;VN.x^{7} - VN.x^{6} - VN.x^{5} + VF.x^{4} - VN.x^{2} - VN.x - VN
106;VF.x^{14} - VN.x^{13} + VF.x^{11} - VF.x^{10} + VF.x^{9} - VN.x^{7} + VN.x^{5} - VF.x^{4} - VN.x^{3} - VF.x^{2} + VN
107;- VN.x^{3}
108;- VN.x^{9} - VN.x^{8}
109;- VN.x^{11} + VF.x^{9} - VN.x^{8} + VN.x^{6} + VF.x^{5} + VF.x^{4} - VF.x^{3} - VF.x^{2} - VN.x + VF
110;VN.x^{4} - VF.x^{2}
111;- VN.x^{7}
112;- VF.x^{3} - VF.x^{2} + VN.x
113;- VN.x^{3} - VN
114;VN.x^{9} + VN.x^{8} + VF.x^{7} - VN.x^{6} - VN.x^{5} + VN.x^{4} + VN.x^{2} + VF.x - VF
115;VF.x^{13} - VN.x^{10} - VN.x^{9} + VN.x^{8} + VN.x^{7} + VF.x^{6} - VF.x^{4} - VN.x^{3} - VN.x^{2} + VN.x - VN
116;- VN.x^{5} + VN.x^{4} + VN.x^{2} + VN.x
117;- VN.x^{15} + VN.x^{14} + VF.x^{11} + VF.x^{10} - VF.x^{9} - VF.x^{8} - VN.x^{5} + VF.x^{4} + VN.x^{3} + VF
118;- VN.x^{13} + VF.x^{10} - VF.x^{9} + VF.x^{8} + VN.x^{7} + VF.x^{6} - VF.x^{5} - VF.x^{4} - VF.x^{2} - VF.x - VN
119;- VF.x^{13} + VN.x^{4} - VN.x^{3}
