;pseudolatex
630;- VF.x - VF.x^{9} - VF - VF.x^{4} - VF.x^{8} - VF.x^{7} - VF.x^{10} - VF.x^{6} - VF.x^{3} - VF.x^{5} - VF.x^{2}
631;- VF.x^{2} - VF.x^{5} - VF - VF.x - VF.x^{3} - VF.x^{4} - VF.x^{6}
632;- VF.x - VF.x^{2} - VF
633;- VF.x^{3} - VF.x - VF.x^{6} - VF.x^{7} - VF - VF.x^{5} - VF.x^{2} - VF.x^{9} - VF.x^{4} - VF.x^{8}
634;- VF.x^{2} - VF.x - VF - VF.x^{4} - VF.x^{3}
635;- VF.x - VF
636;- VF.x^{2} - VF.x - VF.x^{6} - VF.x^{3} - VF - VF.x^{5} - VF.x^{4}
637;- VF.x^{3} - VF.x - VF.x^{2} - VF
638;- VF.x^{2} - VF.x^{3} - VF - VF.x
639;- VF - VF.x
640;- VF.x^{9} - VF.x^{6} - VF.x^{8} - VF.x^{10} - VF.x - VF.x^{5} - VF - VF.x^{7} - VF.x^{3} - VF.x^{2} - VF.x^{4}
641;- VF.x - VF.x^{5} - VF.x^{3} - VF - VF.x^{2} - VF.x^{4}
642;- VF.x^{2} - VF.x - VF
643;- VF.x^{2} - VF.x^{4} - VF.x - VF.x^{3} - VF.x^{6} - VF.x^{5} - VF - VF.x^{7}
644;- VF.x^{2} - VF.x - VF.x^{4} - VF.x^{6} - VF - VF.x^{5} - VF.x^{3}
645;- VF - VF.x^{6} - VF.x^{8} - VF.x^{7} - VF.x^{4} - VF.x^{3} - VF.x^{2} - VF.x^{5} - VF.x
646;- VF.x^{6} - VF.x^{4} - VF.x^{10} - VF.x^{2} - VF.x^{8} - VF.x - VF.x^{7} - VF.x^{9} - VF.x^{3} - VF - VF.x^{5}
647;- VF.x^{6} - VF.x^{7} - VF.x - VF.x^{5} - VF.x^{3} - VF.x^{2} - VF.x^{4} - VF.x^{8} - VF
648;- VF.x^{4} - VF.x^{2} - VF.x^{3} - VF.x - VF
649;VF.x^{2} + VF + VF.x^{5} + VF.x^{3} + VF.x + VF.x^{4}
650;VF.x^{4} + VF.x^{5} + VF.x^{2} + VF + VF.x^{3} + VF.x
651;VF + VF.x
652;VF + VF.x^{3} + VF.x + VF.x^{2}
653;VF.x + VF
654;VF.x^{4} + VF + VF.x^{2} + VF.x^{3} + VF.x
655;VF + VF.x + VF.x^{5} + VF.x^{4} + VF.x^{6} + VF.x^{2} + VF.x^{3}
656;VF.x + VF
657;VF.x^{4} + VF.x^{3} + VF.x^{2} + VF + VF.x
658;VF + VF.x^{4} + VF.x + VF.x^{5} + VF.x^{3} + VF.x^{2}
659;VF + VF.x + VF.x^{2} + VF.x^{3} + VF.x^{4} + VF.x^{5} + VF.x^{6} + VF.x^{7} + VF.x^{8} + VF.x^{9}
