;pseudolatex
300;- VC + VF.x^{3} + VR.x^{2} + VR.x^{5} + VF.x^{4} - VF.x
301;- VC.x^{2} - VF.x - VF + VN.x^{3}
302;- VF.x^{7} + VN.x^{5} - VN.x - VN - VF.x^{3} - VF.x^{4} - VC.x^{6} - VN.x^{2}
303;- VF.x^{5} - VF.x^{3} + VF.x^{7} - VF.x^{4} - VN.x^{6} + VC - VF.x - VR.x^{2}
304;- VR.x^{5} - VC + VN.x^{2} + VC.x^{4} - VF.x - VF.x^{3}
305;- VN + VC.x
306;VN - VF.x^{3} - VR.x^{2} - VC.x
307;- VR - VN.x - VF.x^{2}
308;VN.x^{7} - VN.x^{6} + VC.x^{8} + VR.x^{5} + VN.x^{3} - VR.x^{2} - VF.x - VR.x^{9} - VC + VN.x^{10} + VN.x^{4}
309;VR.x^{7} - VR.x - VR.x^{6} + VR + VR.x^{3} + VR.x^{2} + VR.x^{4} + VR.x^{5}
310;VR.x^{5} - VR.x + VR.x^{3} - VR.x^{6} + VR.x^{7} + VR.x^{2} - VR + VR.x^{4}
311;- VR.x + VR
312;VR.x^{4} + VR.x + VR + VR.x^{3} - VR.x^{2}
313;VR - VR.x
314;VR.x - VR
315;- VR.x^{7} - VR.x^{4} - VR.x^{8} + VR.x^{5} + VR.x - VR - VR.x^{2} - VR.x^{3} - VR.x^{6}
316;- VR.x + VR.x^{2} + VR
317;VR - VR.x^{9} - VR.x^{2} + VR.x^{4} + VR.x^{10} - VR.x - VR.x^{7} - VR.x^{5} - VR.x^{6} + VR.x^{3} - VR.x^{8}
318;VR + VR.x^{4} - VR.x - VR.x^{6} + VR.x^{7} + VR.x^{3} + VR.x^{2} + VR.x^{5}
319;VR.x^{3} + VR.x - VR.x^{5} - VR.x^{7} + VR.x^{2} - VR.x^{4} - VR + VR.x^{6} + VR.x^{9} + VR.x^{8}
320;VR.x^{2} - VR.x^{10} + VR.x - VR.x^{7} - VR.x^{3} - VR.x^{4} + VR.x^{5} - VR - VR.x^{8} + VR.x^{9} - VR.x^{6}
321;VR.x + VR.x^{5} + VR.x^{4} - VR + VR.x^{3} - VR.x^{2}
322;- VR - VR.x^{5} - VR.x^{8} + VR.x^{6} + VR.x^{9} - VR.x^{3} + VR.x - VR.x^{7} - VR.x^{4} - VR.x^{2}
323;- VR.x^{3} + VR.x^{6} - VR + VR.x + VR.x^{8} - VR.x^{5} + VR.x^{9} + VR.x^{7} - VR.x^{10} + VR.x^{4} + VR.x^{2}
324;- VR - VR.x^{5} - VR.x - VR.x^{4} - VR.x^{3} - VR.x^{7} + VR.x^{6} - VR.x^{2}
325;VR.x^{8} - VR.x^{3} + VR.x^{2} + VR.x - VR.x^{6} + VR.x^{5} + VR.x^{7} - VR.x^{4} + VR
326;VR.x + VR + VR.x^{2} - VR.x^{3}
327;VR - VR.x^{2} - VR.x + VR.x^{3}
328;VR.x^{5} - VR.x^{3} - VR.x^{4} - VR.x - VR - VR.x^{2}
329;- VR.x^{2} - VR - VR.x^{4} - VR.x^{3} - VR.x
