;pseudolatex
0;- VF.x^{5} + VN.x^{8} - VN.x^{6} + VF.x^{14} - VF.x^{2} + VN.x^{13} + VN.x^{12} - VF.x^{4} + VF + VF.x^{10} + VN.x^{9}
1;- VF.x^{6} + VN.x^{5}
2;- VN.x^{6} + VF.x^{5} + VF.x^{8} + VN.x - VN.x^{7} + VN
3;VN.x^{6}
4;VF.x^{3} - VF.x^{15} + VF - VN.x^{4} + VF.x^{2} + VN.x^{7} - VF.x^{8} + VN.x + VN.x^{6} + VF.x^{9} - VF.x^{13} - VN.x^{11}
5;VF.x^{7} - VN.x
6;- VN.x^{3} + VF.x^{7} - VN.x^{6} + VN.x^{10} - VF.x^{13} - VF.x^{11} + VF.x^{12} - VN
7;VF.x^{2}
8;VN.x - VF.x^{5} + VN.x^{3} - VF.x^{4} - VN.x^{2}
9;VF.x
10;- VF.x
11;- VN.x^{10} - VN.x^{3} + VF.x^{5} + VN.x^{7} + VN.x^{2} - VN
12;VF.x^{15} + VN.x^{10} - VF.x^{12}
13;VF.x^{4} + VF.x^{2} - VN.x^{6} + VF + VN.x^{5} - VN.x^{9} + VN.x^{10} + VF.x^{12} - VN.x - VF.x^{11}
14;VN.x^{14} + VF + VF.x^{7}
15;VF.x^{13} + VF.x^{10} + VN.x^{9} - VN.x^{12} + VN.x^{2} - VF.x^{11}
16;VN.x^{7} - VN.x^{3}
17;VN.x^{8} + VN.x^{13} - VN.x^{9} - VN.x^{12} - VF.x^{7} - VN + VN.x + VF.x^{5} - VN.x^{10}
18;- VF + VF.x^{6} - VN.x^{8} - VN.x^{12} + VN.x^{7} + VF.x^{9}
19;- VN.x
20;- VN.x^{9} - VF
21;VF.x^{15} - VN.x^{14} + VN.x^{9} - VF.x^{7} + VN.x^{6} + VN.x^{5} + VF.x - VF.x^{13} - VF.x^{12} + VF.x^{8} - VN.x^{10}
22;- VN + VN.x^{7}
23;VN.x^{3} - VN.x
24;- VF.x^{2}
25;VF.x^{7}
26;VF.x^{5} + VF.x^{3} + VN.x^{2} - VN.x^{4} + VF.x
27;- VN.x^{11} - VF.x^{8} - VN.x^{6} - VN.x^{7} - VN.x^{9} + VN.x + VF - VF.x^{4} - VN.x^{12}
28;VF + VN.x^{5} - VF.x^{14} + VF.x^{6}
29;VF - VN.x^{3}
